missing_percentage,imputation,classifier,test_auc,test_f1,imputation_time
0.25,Mean,Logistic,0.7368024420770583,0.2794871794871795,0.01698136329650879
0.25,Mean,RandomForest,0.7646122115604966,0.05801526717557252,0.01698136329650879
0.25,Mean,XGBoost,0.8978765995036715,0.5398907103825137,0.01698136329650879
0.25,Mean,NGBoost,0.8516298141804214,0.5708418891170431,0.01698136329650879
0.25,Mean,NeuralNet,0.7260424562578713,0.3175,0.01698136329650879
0.25,MICE,Logistic,0.7448011846071582,0.2947903430749682,0.5415377616882324
0.25,MICE,RandomForest,0.7673083288773458,0.10995542347696881,0.5415377616882324
0.25,MICE,XGBoost,0.9023149589951209,0.551422319474836,0.5415377616882324
0.25,MICE,NGBoost,0.8340737128071938,0.5748265609514371,0.5415377616882324
0.25,MICE,NeuralNet,0.7332258999625892,0.371824480369515,0.5415377616882324
0.25,MissForest,Logistic,0.7529517245161581,0.32305795314426633,626.7955617904663
0.25,MissForest,RandomForest,0.7654500351582316,0.150506512301013,626.7955617904663
0.25,MissForest,XGBoost,0.8854938507371476,0.5186813186813186,626.7955617904663
0.25,MissForest,NGBoost,0.8403483309143686,0.6032977691561591,626.7955617904663
0.25,MissForest,NeuralNet,0.740472021294724,0.2969543147208122,626.7955617904663
0.25,GAIN,Logistic,0.7078556612587625,0.25098039215686274,6.7878501415252686
0.25,GAIN,RandomForest,0.732830247439521,0.006269592476489028,6.7878501415252686
0.25,GAIN,XGBoost,0.8137921139792653,0.41371428571428576,6.7878501415252686
0.25,GAIN,NGBoost,0.7282586979898109,0.37593984962406013,6.7878501415252686
0.25,GAIN,NeuralNet,0.6994005472540344,0.225201072386059,6.7878501415252686
0.25,MIWAE,Logistic,0.7473244487796471,0.3147459727385378,11.85484504699707
0.25,MIWAE,RandomForest,0.7619802408779568,0.09281437125748503,11.85484504699707
0.25,MIWAE,XGBoost,0.8824314610350819,0.4899777282850779,11.85484504699707
0.25,MIWAE,NGBoost,0.8322869107568519,0.5971830985915493,11.85484504699707
0.25,MIWAE,NeuralNet,0.7308544331690005,0.3188044831880449,11.85484504699707
0.5,Mean,Logistic,0.7347791299170109,0.32218091697645607,0.006451606750488281
0.5,Mean,RandomForest,0.7654096374686857,0.05206738131699847,0.006451606750488281
0.5,Mean,XGBoost,0.8564266113536605,0.4896626768226333,0.006451606750488281
0.5,Mean,NGBoost,0.8046441183902034,0.4931506849315068,0.006451606750488281
0.5,Mean,NeuralNet,0.7292027797527759,0.38839285714285715,0.006451606750488281
0.5,MICE,Logistic,0.7174962638258031,0.26053639846743293,0.2334904670715332
0.5,MICE,RandomForest,0.7423232148138572,0.11816838995568686,0.2334904670715332
0.5,MICE,XGBoost,0.8198434430387681,0.44295302013422816,0.2334904670715332
0.5,MICE,NGBoost,0.7602982279859524,0.44007155635062617,0.2334904670715332
0.5,MICE,NeuralNet,0.7103720700657528,0.3454545454545455,0.2334904670715332
0.5,MissForest,Logistic,0.7445867096008414,0.23481781376518218,476.2805607318878
0.5,MissForest,RandomForest,0.7583449384877847,0.06097560975609756,476.2805607318878
0.5,MissForest,XGBoost,0.8260304104013522,0.39714625445897744,476.2805607318878
0.5,MissForest,NGBoost,0.7753697490348624,0.45294117647058824,476.2805607318878
0.5,MissForest,NeuralNet,0.73291887752204,0.26370757180156656,476.2805607318878
