RMSE,MAE,R2,imputation_method,missing_percentage
4.7453254141904285e-17,3.56404793818561e-17,1.0,Mean,0.25
0.2893521910599884,0.22923360640468796,-1.0,MissForest,0.25
0.016140071751051453,0.007164709158340556,0.8599289127961859,MICE,0.25
1.6956732044154008,1.511260254726735,-1.0,GAIN,0.25
0.009814837693212494,0.007607117238848209,0.9482030936398668,MIWAE,0.25
3.4627890052939795e-17,2.7371658583332748e-17,1.0,Mean,0.5
0.5557431058171458,0.46170251111667227,-1.0,MissForest,0.5
0.5350902366375117,0.36109724938007326,-1.0,MICE,0.5
1.6382472554143788,1.4592808891742597,-1.0,GAIN,0.5
0.008433627590618577,0.006708001371532462,0.9699483953499002,MIWAE,0.5
